,Unnamed: 0,Name,All-Star Year,Age,Team,League,Position,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,First Appearance
167,167,Kobe Bryant,2016,37,LAL,NBA,SF,66,66,28.2,6.0,16.9,0.358,2.0,7.1,.285,4.0,9.8,0.41,0.41700000000000004,3.5,4.3,0.826,0.6,3.1,3.7,2.8,0.9,0.2,2.0,1.7,17.6,11,False
168,168,Kawhi Leonard,2016,24,SAS,NBA,SF,72,72,33.1,7.7,15.1,0.506,1.8,4.0,.443,5.9,11.1,0.528,0.565,4.1,4.6,0.8740000000000001,1.3,5.5,6.8,2.6,1.8,1.0,1.5,1.8,21.2,0,True
169,169,Kevin Durant,2016,27,OKC,NBA,SF,72,72,35.8,9.7,19.2,0.505,2.6,6.7,.387,7.1,12.5,0.569,0.573,6.2,6.9,0.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.2,6,False
170,170,Russell Westbrook,2016,27,OKC,NBA,PG,80,80,34.4,8.2,18.1,0.45399999999999996,1.3,4.3,.296,6.9,13.8,0.503,0.489,5.8,7.2,0.812,1.8,6.0,7.8,10.4,2.0,0.3,4.3,2.5,23.5,4,False
171,171,James Harden,2016,26,HOU,NBA,SG,82,82,38.1,8.7,19.7,0.439,2.9,8.0,.359,5.8,11.7,0.494,0.512,8.8,10.2,0.86,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29.0,3,False
172,172,Klay Thompson,2016,25,GSW,NBA,SG,80,80,33.3,8.1,17.3,0.47,3.5,8.1,.425,4.7,9.2,0.51,0.569,2.4,2.8,0.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1,1,False
173,173,Chris Paul,2016,30,LAC,NBA,PG,74,74,32.7,7.0,15.1,0.462,1.6,4.4,.371,5.3,10.6,0.501,0.517,4.0,4.4,0.8959999999999999,0.5,3.7,4.2,10.0,2.1,0.2,2.6,2.5,19.5,7,False
174,174,Anthony Davis,2016,22,NOP,NBA,C,61,61,35.5,9.2,18.6,0.493,0.6,1.8,.324,8.6,16.9,0.511,0.508,5.3,7.0,0.758,2.1,8.1,10.3,1.9,1.3,2.0,2.0,2.4,24.3,1,False
175,175,LaMarcus Aldridge,2016,30,SAS,NBA,PF,74,74,30.6,7.2,14.1,0.513,0.0,0.2,.000,7.2,13.9,0.521,0.513,3.5,4.1,0.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2.0,18.0,4,False
176,176,Draymond Green,2016,25,GSW,NBA,PF,81,81,34.7,5.0,10.1,0.49,1.2,3.2,.388,3.7,6.9,0.537,0.551,2.8,4.1,0.696,1.7,7.8,9.5,7.4,1.5,1.4,3.2,3.0,14.0,0,True
177,177,DeMarcus Cousins,2016,25,SAC,NBA,C,65,65,34.6,9.2,20.5,0.451,1.1,3.2,.333,8.2,17.3,0.473,0.47700000000000004,7.3,10.2,0.718,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9,1,False
178,178,Kyle Lowry,2016,29,TOR,NBA,PG,77,77,37.0,6.6,15.6,0.42700000000000005,2.8,7.1,.388,3.9,8.5,0.461,0.516,5.2,6.4,0.8109999999999999,0.7,4.0,4.7,6.4,2.1,0.4,2.9,2.7,21.2,1,False
