,Year,Name,Position,Age,Team,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,Win Percent,PTS/FGA,% All Star,Unbiased % All Star,Change
206,2024,Caris LeVert,SG,29,CLE,74,46,29.0,5.9,13.7,.431,2.0,5.7,.348,3.9,8.0,.489,.503,2.6,3.5,.745,0.4,3.0,3.4,4.0,1.1,0.4,1.5,1.6,16.4,0,.595,1.1970802919708028,0.08,0.08,=
214,2024,Robert Williams,C,26,POR,49,43,19.8,2.8,4.3,.654,0.0,0.0,0,2.8,4.3,.654,.654,1.2,1.5,.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8,0,.256,1.5813953488372092,0.07,0.07,=
217,2024,Jacob Gilyard,PG,25,MEM,65,52,16.5,1.3,3.2,.394,1.1,2.7,.400,0.2,0.5,.364,.563,0.0,0.0,1.000,0.3,0.7,1.0,3.4,0.6,0.1,0.6,1.1,3.7,0,.359,1.15625,0.07,0.07,=
216,2024,Jaime Jaquez Jr.,SF,22,MIA,82,58,30.2,5.4,10.6,.513,1.1,3.0,.353,4.4,7.6,.576,.563,2.1,2.5,.837,1.3,2.6,3.9,2.7,1.1,0.3,1.7,2.5,14.0,0,.590,1.3207547169811322,0.07,0.07,=
215,2024,Bennedict Mathurin,SF,21,IND,82,55,25.5,5.1,10.9,.467,1.3,3.5,.380,3.8,7.4,.509,.528,3.1,3.7,.834,1.1,2.7,3.8,2.0,0.6,0.2,1.6,2.1,14.6,0,.590,1.3394495412844036,0.07,0.07,=
196,2024,Kevin Love,PF,35,MIA,74,48,19.1,3.2,7.1,.452,1.7,4.8,.349,1.5,2.3,.671,.571,2.1,2.6,.780,1.1,5.6,6.7,2.6,0.4,0.2,0.7,1.9,10.1,3,.590,1.4225352112676057,0.1,0.07,=
213,2024,Mason Plumlee,C,33,LAC,52,43,14.4,2.0,2.9,.692,0.0,0.0,0,2.0,2.9,.692,.692,1.2,2.3,.524,1.0,3.4,4.4,1.0,0.6,0.1,0.6,1.2,5.2,0,.641,1.793103448275862,0.07,0.07,=
212,2024,Ausar Thompson,SF,21,DET,82,67,23.6,3.3,7.4,.446,0.2,1.7,.136,3.1,5.7,.538,.462,1.2,1.8,.686,2.1,4.6,6.7,2.1,0.8,1.0,1.4,3.1,8.1,0,.077,1.0945945945945945,0.07,0.07,=
211,2024,Walker Kessler,C,22,UTA,74,54,23.7,4.0,6.2,.645,0.1,0.5,.250,3.8,5.7,.679,.655,0.7,1.4,.511,2.6,5.0,7.6,0.7,0.5,2.5,1.0,2.2,8.8,0,.512,1.4193548387096775,0.07,0.07,=
231,2024,Jaylen Nowell,SG,24,MEM,52,44,17.3,2.4,6.1,.400,0.4,2.6,.174,2.0,3.6,.563,.436,0.3,0.3,1.000,0.3,1.2,1.6,1.8,0.3,0.0,0.6,1.4,5.7,0,.359,0.9344262295081968,0.06,0.06,=
