,Year,Name,Position,Age,Team,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,Win Percent,PTS/FGA,% All Star
163,2024,Jett Howard,SF,20,ORL,65,58,4.6,0.4,1.9,.231,0.1,1.4,.100,0.3,0.4,.667,.269,0.1,0.3,.500,0.1,0.4,0.6,0.4,0.0,0.0,0.3,0.1,1.1,0,.667,0.5789473684210527,1.93
114,2024,Luka Garza,C,25,MIN,63,58,3.2,0.8,2.2,.364,0.0,0.4,.000,0.8,1.8,.444,.364,1.0,1.6,.625,0.6,0.6,1.2,0.2,0.0,0.0,0.2,0.8,2.6,0,.792,1.1818181818181817,1.83
95,2024,Jalen Duren,C,20,DET,70,69,28.9,5.7,9.1,.630,0.0,0.1,.000,5.7,8.9,.640,.630,1.1,2.0,.571,3.4,7.6,10.9,2.5,0.6,1.4,2.7,3.4,12.6,0,.077,1.3846153846153846,1.73
58,2024,Kentavious Caldwell-Pope,SG,30,DEN,80,80,32.9,3.6,8.1,.450,1.4,3.6,.404,2.2,4.5,.487,.540,1.8,2.0,.902,0.4,1.5,1.9,2.5,1.4,0.4,1.2,2.0,10.6,0,.630,1.308641975308642,1.71
390,2024,Grant Williams,PF,25,DAL,79,79,29.8,3.3,7.8,.421,2.2,5.6,.398,1.0,2.2,.479,.564,1.0,1.5,.656,1.1,2.6,3.7,1.7,0.4,0.5,0.9,2.8,9.7,0,.640,1.2435897435897436,1.7
266,2024,Daishen Nix,PG,21,MIN,64,58,3.5,0.5,1.3,.375,0.3,0.8,.400,0.2,0.5,.333,.500,0.0,0.3,.000,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,1.3,0,.792,1.0,1.7
236,2024,Jaden McDaniels,SF,23,MIN,72,71,23.5,4.1,7.4,.558,1.0,2.7,.368,3.1,4.7,.667,.625,0.2,0.3,.750,0.6,1.6,2.1,1.1,0.5,0.4,0.9,3.2,9.5,0,.792,1.2837837837837838,1.67
322,2024,Admiral Schofield,PF,26,ORL,65,58,3.7,0.4,1.4,.300,0.1,0.9,.167,0.3,0.6,.500,.350,0.0,0.3,.000,0.0,0.7,0.7,0.1,0.0,0.0,0.6,0.9,1.0,0,.667,0.7142857142857143,1.65
338,2024,Jeremy Sochan,PG,20,SAS,82,81,29.1,4.2,9.8,.424,0.8,2.4,.345,3.3,7.4,.449,.466,1.5,1.9,.761,1.5,3.9,5.4,4.0,0.7,0.3,2.4,2.8,10.6,0,.167,1.0816326530612244,1.63
278,2024,Kelly Oubre Jr.,SF,28,PHI,71,62,25.2,5.4,10.6,.503,1.6,4.4,.355,3.8,6.2,.609,.577,2.0,2.6,.757,1.3,3.1,4.4,0.7,1.1,0.3,0.8,2.2,14.3,0,.720,1.349056603773585,1.52
