,Year,Team,Wins,Losses,Percent,Games Back,PPG,OPPG,SRS
173,2023,New Orleans Pelicans,42,40,.512,11.0,114.4,112.5,1.63
174,2023,Oklahoma City Thunder,40,42,.488,13.0,117.5,116.4,0.96
175,2023,Dallas Mavericks,38,44,.463,15.0,114.2,114.1,-0.14
176,2023,Utah Jazz,37,45,.451,16.0,117.1,118.0,-1.03
177,2023,Portland Trail Blazers,33,49,.402,20.0,113.4,117.4,-3.96
178,2023,Houston Rockets,22,60,.268,31.0,110.7,118.6,-7.62
179,2023,San Antonio Spurs,22,60,.268,31.0,113.0,123.1,-9.82
180,2022,Miami Heat,53,29,.646,—,110.0,105.6,4.23
181,2022,Boston Celtics,51,31,.622,2.0,111.8,104.5,7.02
182,2022,Milwaukee Bucks,51,31,.622,2.0,115.5,112.1,3.22
183,2022,Philadelphia 76ers,51,31,.622,2.0,109.9,107.3,2.57
184,2022,Toronto Raptors,48,34,.585,5.0,109.4,107.1,2.38
185,2022,Chicago Bulls,46,36,.561,7.0,111.6,112.0,-0.38
186,2022,Brooklyn Nets,44,38,.537,9.0,112.9,112.1,0.82
187,2022,Cleveland Cavaliers,44,38,.537,9.0,107.8,105.7,2.04
188,2022,Atlanta Hawks,43,39,.524,10.0,113.9,112.4,1.55
189,2022,Charlotte Hornets,43,39,.524,10.0,115.3,114.9,0.53
190,2022,New York Knicks,37,45,.451,16.0,106.5,106.6,-0.01
191,2022,Washington Wizards,35,47,.427,18.0,108.6,112.0,-3.23
192,2022,Indiana Pacers,25,57,.305,28.0,111.5,114.9,-3.26
193,2022,Detroit Pistons,23,59,.280,30.0,104.8,112.5,-7.36
194,2022,Orlando Magic,22,60,.268,31.0,104.2,112.2,-7.67
195,2022,Miami Heat,53,29,.646,—,110.0,105.6,4.23
196,2022,Boston Celtics,51,31,.622,2.0,111.8,104.5,7.02
197,2022,Milwaukee Bucks,51,31,.622,2.0,115.5,112.1,3.22
198,2022,Philadelphia 76ers,51,31,.622,2.0,109.9,107.3,2.57
199,2022,Toronto Raptors,48,34,.585,5.0,109.4,107.1,2.38
200,2022,Chicago Bulls,46,36,.561,7.0,111.6,112.0,-0.38
201,2022,Brooklyn Nets,44,38,.537,9.0,112.9,112.1,0.82
202,2022,Cleveland Cavaliers,44,38,.537,9.0,107.8,105.7,2.04
203,2022,Atlanta Hawks,43,39,.524,10.0,113.9,112.4,1.55
204,2022,Charlotte Hornets,43,39,.524,10.0,115.3,114.9,0.53
205,2022,New York Knicks,37,45,.451,16.0,106.5,106.6,-0.01
206,2022,Washington Wizards,35,47,.427,18.0,108.6,112.0,-3.23
207,2022,Indiana Pacers,25,57,.305,28.0,111.5,114.9,-3.26
208,2022,Detroit Pistons,23,59,.280,30.0,104.8,112.5,-7.36
209,2022,Orlando Magic,22,60,.268,31.0,104.2,112.2,-7.67
210,2022,Miami Heat,53,29,.646,—,110.0,105.6,4.23
211,2022,Boston Celtics,51,31,.622,2.0,111.8,104.5,7.02
212,2022,Milwaukee Bucks,51,31,.622,2.0,115.5,112.1,3.22
213,2022,Philadelphia 76ers,51,31,.622,2.0,109.9,107.3,2.57
214,2022,Toronto Raptors,48,34,.585,5.0,109.4,107.1,2.38
215,2022,Chicago Bulls,46,36,.561,7.0,111.6,112.0,-0.38
216,2022,Brooklyn Nets,44,38,.537,9.0,112.9,112.1,0.82
217,2022,Cleveland Cavaliers,44,38,.537,9.0,107.8,105.7,2.04
218,2022,Atlanta Hawks,43,39,.524,10.0,113.9,112.4,1.55
219,2022,Charlotte Hornets,43,39,.524,10.0,115.3,114.9,0.53
220,2022,New York Knicks,37,45,.451,16.0,106.5,106.6,-0.01
221,2022,Washington Wizards,35,47,.427,18.0,108.6,112.0,-3.23
222,2022,Indiana Pacers,25,57,.305,28.0,111.5,114.9,-3.26
223,2022,Detroit Pistons,23,59,.280,30.0,104.8,112.5,-7.36
224,2022,Orlando Magic,22,60,.268,31.0,104.2,112.2,-7.67
225,2022,Phoenix Suns,64,18,.780,—,114.8,107.3,6.94
226,2022,Memphis Grizzlies,56,26,.683,8.0,115.6,109.9,5.37
227,2022,Golden State Warriors,53,29,.646,11.0,111.0,105.5,5.52
228,2022,Dallas Mavericks,52,30,.634,12.0,108.0,104.7,3.12
229,2022,Utah Jazz,49,33,.598,15.0,113.6,107.6,5.67
230,2022,Denver Nuggets,48,34,.585,16.0,112.7,110.4,2.16
231,2022,Minnesota Timberwolves,46,36,.561,18.0,115.9,113.3,2.53
232,2022,Los Angeles Clippers,42,40,.512,22.0,108.4,108.4,0.09
233,2022,New Orleans Pelicans,36,46,.439,28.0,109.3,110.3,-0.84
234,2022,San Antonio Spurs,34,48,.415,30.0,113.2,113.0,0.02
235,2022,Los Angeles Lakers,33,49,.402,31.0,112.1,115.1,-3.08
236,2022,Sacramento Kings,30,52,.366,34.0,110.3,115.8,-5.26
237,2022,Portland Trail Blazers,27,55,.329,37.0,106.2,115.1,-8.55
238,2022,Oklahoma City Thunder,24,58,.293,40.0,103.7,111.8,-7.90
239,2022,Houston Rockets,20,62,.244,44.0,109.7,118.2,-8.26
240,2022,Phoenix Suns,64,18,.780,—,114.8,107.3,6.94
241,2022,Memphis Grizzlies,56,26,.683,8.0,115.6,109.9,5.37
242,2022,Golden State Warriors,53,29,.646,11.0,111.0,105.5,5.52
243,2022,Dallas Mavericks,52,30,.634,12.0,108.0,104.7,3.12
244,2022,Utah Jazz,49,33,.598,15.0,113.6,107.6,5.67
245,2022,Denver Nuggets,48,34,.585,16.0,112.7,110.4,2.16
246,2022,Minnesota Timberwolves,46,36,.561,18.0,115.9,113.3,2.53
247,2022,Los Angeles Clippers,42,40,.512,22.0,108.4,108.4,0.09
248,2022,New Orleans Pelicans,36,46,.439,28.0,109.3,110.3,-0.84
249,2022,San Antonio Spurs,34,48,.415,30.0,113.2,113.0,0.02
250,2022,Los Angeles Lakers,33,49,.402,31.0,112.1,115.1,-3.08
251,2022,Sacramento Kings,30,52,.366,34.0,110.3,115.8,-5.26
252,2022,Portland Trail Blazers,27,55,.329,37.0,106.2,115.1,-8.55
253,2022,Oklahoma City Thunder,24,58,.293,40.0,103.7,111.8,-7.90
254,2022,Houston Rockets,20,62,.244,44.0,109.7,118.2,-8.26
255,2022,Phoenix Suns,64,18,.780,—,114.8,107.3,6.94
256,2022,Memphis Grizzlies,56,26,.683,8.0,115.6,109.9,5.37
257,2022,Golden State Warriors,53,29,.646,11.0,111.0,105.5,5.52
258,2022,Dallas Mavericks,52,30,.634,12.0,108.0,104.7,3.12
259,2022,Utah Jazz,49,33,.598,15.0,113.6,107.6,5.67
260,2022,Denver Nuggets,48,34,.585,16.0,112.7,110.4,2.16
261,2022,Minnesota Timberwolves,46,36,.561,18.0,115.9,113.3,2.53
262,2022,Los Angeles Clippers,42,40,.512,22.0,108.4,108.4,0.09
263,2022,New Orleans Pelicans,36,46,.439,28.0,109.3,110.3,-0.84
264,2022,San Antonio Spurs,34,48,.415,30.0,113.2,113.0,0.02
265,2022,Los Angeles Lakers,33,49,.402,31.0,112.1,115.1,-3.08
266,2022,Sacramento Kings,30,52,.366,34.0,110.3,115.8,-5.26
267,2022,Portland Trail Blazers,27,55,.329,37.0,106.2,115.1,-8.55
268,2022,Oklahoma City Thunder,24,58,.293,40.0,103.7,111.8,-7.90
269,2022,Houston Rockets,20,62,.244,44.0,109.7,118.2,-8.26
270,2021,Philadelphia 76ers,49,23,.681,—,113.6,108.1,5.28
271,2021,Brooklyn Nets,48,24,.667,1.0,118.6,114.1,4.24
272,2021,Milwaukee Bucks,46,26,.639,3.0,120.1,114.2,5.57
273,2021,New York Knicks,41,31,.569,8.0,107.0,104.7,2.13
274,2021,Atlanta Hawks,41,31,.569,8.0,113.7,111.4,2.14
275,2021,Miami Heat,40,32,.556,9.0,108.1,108.0,-0.06
276,2021,Boston Celtics,36,36,.500,13.0,112.6,111.2,1.32
277,2021,Washington Wizards,34,38,.472,15.0,116.6,118.5,-1.85
278,2021,Indiana Pacers,34,38,.472,15.0,115.3,115.3,-0.13
279,2021,Charlotte Hornets,33,39,.458,16.0,109.5,111.4,-1.94
280,2021,Chicago Bulls,31,41,.431,18.0,110.7,111.6,-0.94
281,2021,Toronto Raptors,27,45,.375,22.0,111.3,111.7,-0.54
282,2021,Cleveland Cavaliers,22,50,.306,27.0,103.8,112.3,-8.19
283,2021,Orlando Magic,21,51,.292,28.0,104.0,113.3,-9.02
284,2021,Detroit Pistons,20,52,.278,29.0,106.6,111.1,-4.38
285,2021,Philadelphia 76ers,49,23,.681,—,113.6,108.1,5.28
286,2021,Brooklyn Nets,48,24,.667,1.0,118.6,114.1,4.24
287,2021,Milwaukee Bucks,46,26,.639,3.0,120.1,114.2,5.57
288,2021,New York Knicks,41,31,.569,8.0,107.0,104.7,2.13
289,2021,Atlanta Hawks,41,31,.569,8.0,113.7,111.4,2.14
290,2021,Miami Heat,40,32,.556,9.0,108.1,108.0,-0.06
291,2021,Boston Celtics,36,36,.500,13.0,112.6,111.2,1.32
292,2021,Washington Wizards,34,38,.472,15.0,116.6,118.5,-1.85
293,2021,Indiana Pacers,34,38,.472,15.0,115.3,115.3,-0.13
294,2021,Charlotte Hornets,33,39,.458,16.0,109.5,111.4,-1.94
295,2021,Chicago Bulls,31,41,.431,18.0,110.7,111.6,-0.94
296,2021,Toronto Raptors,27,45,.375,22.0,111.3,111.7,-0.54
297,2021,Cleveland Cavaliers,22,50,.306,27.0,103.8,112.3,-8.19
298,2021,Orlando Magic,21,51,.292,28.0,104.0,113.3,-9.02
299,2021,Detroit Pistons,20,52,.278,29.0,106.6,111.1,-4.38
300,2021,Philadelphia 76ers,49,23,.681,—,113.6,108.1,5.28
301,2021,Brooklyn Nets,48,24,.667,1.0,118.6,114.1,4.24
302,2021,Milwaukee Bucks,46,26,.639,3.0,120.1,114.2,5.57
303,2021,New York Knicks,41,31,.569,8.0,107.0,104.7,2.13
304,2021,Atlanta Hawks,41,31,.569,8.0,113.7,111.4,2.14
305,2021,Miami Heat,40,32,.556,9.0,108.1,108.0,-0.06
306,2021,Boston Celtics,36,36,.500,13.0,112.6,111.2,1.32
307,2021,Washington Wizards,34,38,.472,15.0,116.6,118.5,-1.85
